system   D            wsystem.c:585  maybe_parent_dir                 [   0.00316] Also searching C:\Users\Ryan\Documents\Visual Studio 2010\Projects\RandomGame\
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.20033] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.20108] added dtor for object 00DFF220, func 525825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.20887] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.20899] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23472] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23478] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23479] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23481] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23483] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23484] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23486] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23488] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   0.23489] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   0.23491] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   0.23493] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   0.23495] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   0.23496] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.23561] added dtor for object 00DFF330, func 525825BD
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.24463] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.24474] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:184  _al_register_destructor          [   0.26615] added dtor for object 00DFF440, func 525827CA
dtor     D               dtor.c:184  _al_register_destructor          [   0.26632] added dtor for object 00DFF568, func 525824FA
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.32905] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.32914] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.33022] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.33027] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.34165] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.34174] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   0.35400] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   0.35409] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33591] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33599] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33603] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33607] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33611] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33615] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33619] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33624] Fake format
d3d      D         d3d_disp.cpp:1165 real_choose_bitmap_format        [   1.33633] Fake format
d3d      D         d3d_disp.cpp:1173 real_choose_bitmap_format        [   1.33640] Alpha doesn't match
d3d      D         d3d_disp.cpp:1180 real_choose_bitmap_format        [   1.33645] Adapter format is 23
d3d      D         d3d_disp.cpp:1183 real_choose_bitmap_format        [   1.33649] Found a format
d3d      I         d3d_disp.cpp:2296 _al_d3d_create_bitmap            [   1.33653] Chose bitmap format 9
font     D                ttf.c:217  alloc_glyph_region               [   1.33764] Glyph 43: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.33830] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.33837] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.34229] Glyph 72: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.34274] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.34281] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.34598] Glyph 68: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.34645] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.34652] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.34950] Glyph 79: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.35002] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.35008] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.35312] Glyph 87: 6x16 (8x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.35360] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.35366] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.35673] Glyph 75: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.35719] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.35726] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.36017] Glyph 29: 4x12 (4x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.36060] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.36066] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:406  cache_glyph                      [   1.36347] Glyph 3 has zero size.
font     D                ttf.c:217  alloc_glyph_region               [   1.36369] Glyph 20: 7x15 (8x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.36420] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.36427] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.36738] Glyph 19: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.36780] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.36786] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.37131] Glyph 17: 4x4 (4x4)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.37193] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.37200] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.37571] Glyph 47: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.37638] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.37641] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.37902] Glyph 76: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.37927] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.37930] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.38184] Glyph 89: 13x12 (16x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.38204] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.38208] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.38461] Glyph 86: 9x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.38480] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.38484] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.38731] Glyph 22: 10x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.38755] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.38759] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.39014] Glyph 36: 15x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.39051] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.39055] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.39313] Glyph 80: 14x12 (16x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.39335] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.39339] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.39583] Glyph 82: 10x12 (12x12)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.39602] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.39606] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.39846] Glyph 44: 4x15 (4x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.39866] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.39869] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.40113] Glyph 49: 13x15 (16x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.40138] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.40141] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   1.40381] Glyph 41: 11x15 (12x16)
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.40401] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.40404] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:465  _al_d3d_sync_bitmap              [   1.42145] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:471  _al_d3d_sync_bitmap              [   1.42152] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.40656] removed dtor for object 058A52D0
d3d      W          d3d_bmp.cpp:741  d3d_destroy_bitmap               [   2.40667] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.40681] removed dtor for object 00DFF0B0
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.40759] removed dtor for object 00DFF220
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.40841] removed dtor for object 00DFF330
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.40920] removed dtor for object 00DFDEE0
d3d      W          d3d_bmp.cpp:741  d3d_destroy_bitmap               [   2.41007] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.41717] removed dtor for object 00DFF568
dtor     D               dtor.c:214  _al_unregister_destructor        [   2.41726] removed dtor for object 00DFF440
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [   2.41743] destroying display 00DF3F80 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [   2.41801] waiting for display 00DF3F80's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [   2.42642] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1526 d3d_display_thread_proc          [   2.46714] d3d display thread exits
